Series Description,Manufacturing (SIC); s.a. IP,Crude processing (capacity); s.a. IP,Primary & semifinished processing (capacity); s.a. IP,Finished processing (capacity); s.a. IP,Mining  (NAICS = 21); s.a. IP,"Electric power generation, transmission, and distribution  (NAICS = 2211); s.a. IP","Electric and gas utilities  (NAICS = 2211,2); s.a. IP",Natural gas distribution  (NAICS = 2212); s.a. IP,"Food, beverage, and tobacco  (NAICS = 311,2); s.a. IP","Textiles and products  (NAICS = 313,4); s.a. IP","Apparel and leather goods  (NAICS = 315,6); s.a. IP",Wood product  (NAICS = 321); s.a. IP,Paper  (NAICS = 322); s.a. IP,Printing and related support activities  (NAICS = 323); s.a. IP,Petroleum and coal products  (NAICS = 324); s.a. IP,Chemical  (NAICS = 325); s.a. IP,Plastics and rubber products  (NAICS = 326); s.a. IP,Nonmetallic mineral product  (NAICS = 327); s.a. IP,Primary metal  (NAICS = 331); s.a. IP,Fabricated metal product  (NAICS = 332); s.a. IP,Machinery  (NAICS = 333); s.a. IP,Computer and electronic product  (NAICS = 334); s.a. IP,"Electrical equipment, appliance, and component  (NAICS = 335); s.a. IP",Motor vehicles and parts  (NAICS = 3361-3); s.a. IP,Aerospace and miscellaneous transportation eq.  (NAICS = 3364-9); s.a. IP,Furniture and related product  (NAICS = 337); s.a. IP,Miscellaneous  (NAICS = 339); s.a. IP,Manufacturing (NAICS); s.a. IP,Durable manufacturing (NAICS); s.a. IP,Nondurable manufacturing (NAICS); s.a. IP,Other manufacturing; s.a. IP
1972-01,38.283,76.6024,41.6338,32.9572,85.9608,34.6251,44.021,105.2762,60.6512,168.7617,627.4419,84.465,76.0852,65.6448,62.9323,49.985,35.0543,84.399,113.7503,67.4343,59.2075,0.4217,78.519,34.7477,51.8099,70.7304,39.6651,36.0856,23.5171,62.8876,136.253
1972-02,38.6063,76.4697,42.3459,33.099,85.2372,35.8356,46.0774,114.8094,59.9973,168.5103,625.769,83.1391,76.1435,66.5996,64.1137,50.5503,35.0223,84.4549,117.7063,68.1095,60.4079,0.4261,79.4437,35.345,51.8861,70.6899,39.9322,36.3699,23.8158,62.9521,138.1907
1972-03,38.8739,77.4765,42.6673,33.2249,85.8973,36.3612,46.2788,112.7263,60.6204,168.7451,623.7826,82.0167,77.0723,67.5736,63.9492,50.5851,35.4598,84.5776,123.3022,68.6871,60.5221,0.43,77.8671,35.6215,51.9816,70.8478,40.0845,36.6126,23.9908,63.311,138.8382
1972-04,39.2985,78.0269,42.9805,33.6782,86.7622,36.5954,46.1532,110.1328,61.1629,170.6258,626.3811,83.8582,77.6076,66.2517,63.2983,50.76,36.4272,84.6293,125.1089,69.1577,61.8711,0.4363,79.1228,36.7603,51.8032,71.9422,40.5317,37.0278,24.3535,63.6873,137.6002
1972-05,39.3682,77.9858,43.0965,33.559,86.0921,36.2837,45.5746,108.0754,60.9539,171.5102,622.9772,83.2118,77.4963,66.8186,63.4683,51.1275,36.9599,84.8312,126.6233,69.7588,63.2376,0.4387,78.3162,36.0872,50.5081,72.0755,40.7781,37.0977,24.3912,63.8382,136.336
1972-06,39.5023,78.3624,43.1527,33.6544,85.9838,36.0244,45.2707,108.0541,60.8668,169.4261,620.4339,83.489,78.9122,67.0972,62.7569,51.7946,37.2788,85.2289,126.4013,70.6085,64.0767,0.4431,78.0822,35.5236,49.8566,72.3646,41.2818,37.2049,24.452,64.059,137.8007
1972-07,39.4938,77.971,42.9457,33.8194,85.8346,35.6461,44.8215,107.5723,60.5792,170.3879,623.8177,85.8761,78.0754,66.6298,63.0155,51.5628,36.9547,85.5998,123.5372,70.5902,64.3935,0.4486,79.1532,35.3649,49.6462,73.7322,41.5214,37.1972,24.4992,63.8509,137.0345
1972-08,40.0142,78.6146,43.6154,34.2428,86.8128,36.5537,45.7705,108.7616,60.9299,171.2973,636.6586,83.4443,78.436,67.9568,63.5386,51.9287,37.733,86.9178,127.0386,71.0695,65.2038,0.4523,79.1039,37.3981,49.686,74.0684,42.3124,37.6906,24.8823,64.4822,138.0303
1972-09,40.338,78.4136,44.1159,34.4373,86.7169,37.3837,46.3269,106.8087,60.6156,170.462,644.5019,84.6633,80.0739,66.7446,64.1794,52.2895,37.9069,86.6318,127.5165,72.3799,65.6385,0.4597,80.0536,37.9964,50.138,74.3551,42.5745,37.9677,25.1436,64.6666,141.6327
1972-10,40.9033,78.8752,44.7324,34.8683,86.322,37.9004,46.8549,107.2637,61.179,174.6704,643.8329,87.6929,81.2872,67.8181,64.5619,52.6497,38.7171,87.2937,129.5636,72.675,66.8214,0.465,82.3144,39.2433,50.9176,75.8099,42.7774,38.5217,25.5797,65.3557,141.3243
